2101080500034,ถังปูนดำ/ช้างบิน,ชิ้น,
2101080500041,ถังปูนดำA/เพชรทอง,ใบ,
2101080500058,ถังปูนดำช้างทอง/DACHA,ใบ,
2101080500065,ถังปูนดำช้างดาวเทียม,ใบ,
2101080500072,ถังผสมสี/ทีพีไอ,ชิ้น,
2101080600035,509053 บุ้งกี๋ทึบเรียบ/SPOA,ใบ,
2101080700045,รถเข็นปูนล้อเดี่ยวส้มล้อแม็กซ์(กะบะเหล็ก)/ช้างรอดบวง,คัน,
2101080700052,รถเข็นปูนล้อคู่ส้มล้อแม็กซ์(กะบะเหล็ก)/ช้างรอดบวง,คัน,
2101080700069,รถเข็นปูนล้อเดี่ยวส้มล้อแม็กซ์/one,คัน,
2101080700076,รถเข็นปูนล้อเดี่ยวสีเขียว,คัน,
2101080700786,รถเข็นปูนล้อเดี่ยวสีเขียวMax/DACHA,คัน,
2101080700793,รถเข็นปูนล้อเดี่ยวสีเขียวMax/ตราเพชร,คัน,
2101080700809,รถเข็นปูนล้อเดี่ยว สีน้ำเงิน,คัน,
2101080700816,รถเข็นปูนล้อคู่ สีน้ำเงิน,คัน,
2101080900025,ฟองน้ำ1",ชิ้น,
2101080900032,แปรงตีน้ำ,ชิ้น,
2101080900056,911610 ฟองน้ำฉาบปูน 6 หุน A/SPOA,ชิ้น,
2101080900058,91075 ฟองน้ำฉาบปูน 1 นิ้ว B/SPOA,ชิ้น,
2101100400016,ตลับเมตรสายวัดโลหะ(7.5เมตร)/Beta,ชิ้น,
2101100700017,ระดับน้ำอลูมิเนียม 24 DAN กล่องเหลือง(ขนาด24'')/ซีไอที,ชิ้น,
2101100800014,101574 ลูกดิ่ง ขนาด 200 กรัม/SPOA,ดอก,
2101100800021,111751 ลูกดิ่ง ขนาด 400 กรัม/SPOA,ดอก,
2101100800038,101622 ลูกดิ่ง ขนาด 1000 กรัม/SPOA,ดอก,
2101100800039,101639 ลูกดิ่ง ขนาด 1500 กรัม/SPOA,ดอก,
2101109990044,ร่อง PVC GROOVE สีขาว (10 มม.)ยาว 2 ม.,เส้น,
2101109990051,เส้นแบ่งกระจก สีชา 2 หุน,เส้น,
2101129990017,ชุดเครื่องมือก่อ/ฉาบปูน,ชุด,
2101149990011,แท่นตัดอลูมิเนียม 10 นิ้ว/ถาวรอลูมิเนียม,ชุด,
2101160900013,101080 แชลงปากเล็กข้ออ้อย 1*1 เมตร/SPOA,ตัว,
2101160900020,101165 แชลงปากใหญ่ข้ออ้อย 1*1 เมตร/SPOA,ตัว,
2101160900037,101189 แชลงปากใหญ่ข้ออ้อย 3/4*1 เมตร/SPOA,ตัว,
